County,cluster_number,cluster_type,respondent_sex,respondent_age,education_completed_raw,education_completed_other,female_hh_highest_education,emergency_access_area_type,income_source_farming,income_source_employment,income_source_casual_work,income_source_self_employment,income_source_social_transfer,income_source_rental_income,income_source_investments,income_source_pension_annuity,income_source_family_support,monthly_income_ksh,trusted_financial_provider,insurance_doc_barrier_no_insurance,insurance_doc_barrier_not_in_own_name,loan_barrier_low_income_to_repay,loan_barrier_inadequate_documentation,savings_barrier_distrust_institutions,bank_barrier_distrust_banks,sacco_barrier_lack_of_trust,mobile_money_barrier_untrustworthy_agents,formal_account_barrier_distrust,cost_to_nearest_bank,walk_time_to_nearest_bank,cost_to_nearest_mobile_money_agent,walk_time_to_nearest_mobile_money_agent,cost_to_nearest_bank_agent,walk_time_to_nearest_bank_agent,education,education_femHH,education_anyHH,bank_usage,insurance_usage,mobile_bank_usage,mobile_money_usage,incomegp,mobile_money_access,mobile_money_active,incomegpnew,incomegp_new,financially_included
Murang'a,10121109,Rural,Male,28,"""Secondary completed """,,Secondary completed,No,No,No,Yes,No,No,No,No,No,No,3000,A bank,,,No,,,,,,,Between KSh 51- 100,About 1 to 3 hours,,,Close enough to walk to and fro -  No need to spend,Under 10 minutes,Secondary,Secondary,Secondary,Currently have,Never had,Currently have,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Kwale,10202042,Rural,Male,18,"""Some secondary""",,No female household head/spouse,No,No,No,No,No,No,No,No,No,Yes,"""Don't know(DO NOT READ OUT)""",A bank,,,,,No,No,No,No,No,Between KSh 201- 500,About 1 to 3 hours,,,Between KSh 201 - 500,About 1 to 3 hours,Secondary,No Female HH head,Secondary,Never had,Never had,Never had,Never had,Don't Know,No,No,Don't Know,Others,0
Nairobi City,10247286,Urban,Male,29,"""Primary completed""",,No female household head/spouse,No,No,Yes,No,No,No,No,No,No,No,"""Don't know(DO NOT READ OUT)""",A bank,,,,,,,Yes,,No,Between KSh 51- 100,About 1 to 3 hours,,,Close enough to walk to and fro -  No need to spend,Under 10 minutes,Primary,No Female HH head,Primary,Currently have,Used to have,Used to have,Currently have,Don't Know,Yes,Yes,Don't Know,Others,1
Homabay,10143049,Rural,Female,44,"""Primary completed""",,,No,No,No,Yes,No,No,No,No,No,No,500,A bank,,,,,,,No,,No,Between KSh 201- 500,More than 3 hours,,,Close enough to walk to and fro -  No need to spend,About 10 to 30 minutes,Primary,No Female HH head,Primary,Currently have,Never had,Currently have,Currently have,KSh 101 - 1500,Yes,Yes,"KSh 1 - 1,000",< KSh 3000,1
Kilifi,10203066,Rural,Male,84,"""None """,,"""None""",No,Yes,No,No,No,No,No,No,No,Yes,5000,"""Don't know(DO NOT READ OUT)""",,,,,No,No,No,,No,Between KSh 201- 500,More than 3 hours,,,Between KSh 201 - 500,More than 3 hours,,,,Never had,Never had,Never had,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 3,001 - 5,000",KSh 3001 - 7500,1
Garissa,10207066,Rural,Male,35,"""None """,,"""None""",No,Yes,No,Yes,No,No,No,No,No,No,15000,Mobile money provider e.g Safaricom fuliza,,,,,,No,No,,No,More than KSh 500,More than 3 hours,,,"""Don't know(DO NOT READ OUT)""","""Don't know(DO NOT READ OUT)""",,,,Never had,Never had,Never had,Currently have,KSh 7501-15000,Yes,Yes,"KSh 10,001-20,000",KSh 7501-15000,1
Narok,10233114,Rural,Male,18,"""Primary completed""",,"""Some secondary""",No,No,No,No,No,No,No,No,No,Yes,4000,A bank,,,,,No,No,No,No,No,"""Don't know(DO NOT READ OUT)""","""Don't know(DO NOT READ OUT)""",,,"""Don't know(DO NOT READ OUT)""","""Don't know(DO NOT READ OUT)""",Primary,Secondary,Primary,Never had,Never had,Never had,Never had,KSh 3001 - 7500,No,No,"KSh 3,001 - 5,000",KSh 3001 - 7500,0
Vihiga,10238154,Urban,Male,58,"""Secondary completed """,,"""Some secondary""",No,Yes,No,No,No,No,No,No,No,No,"""Don't know(DO NOT READ OUT)""",A bank,,,,,,,No,,No,Close enough to walk  No need to spend,About 10 to 30 minutes,,,Close enough to walk to and fro -  No need to spend,About 10 to 30 minutes,Secondary,Secondary,Secondary,Currently have,Currently have,Never had,Currently have,Don't Know,Yes,Yes,Don't Know,Others,1
Turkana,10223046,Rural,Female,40,"""None """,,"""None""",No,No,No,No,Yes,No,No,No,No,No,2000,Mobile money provider e.g Safaricom fuliza,,,Yes,,,No,No,,No,More than KSh 500,More than 3 hours,,,More than KSh 500,More than 3 hours,,,,Never had,Never had,Never had,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Samburu,10125033,Rural,Female,70,"""None """,,,No,Yes,No,No,No,Yes,No,No,No,Yes,5000,"""None of these(DO NOT READ OUT)""",,,,,,,No,,,Between KSh 101- 200,Between 30 minutes to 1 hour,,,Between KSh 101 - 200,Between 30 minutes to 1 hour,,No Female HH head,,Currently have,Never had,Never had,Currently have,KSh 3001 - 7500,Yes,No,"KSh 3,001 - 5,000",KSh 3001 - 7500,1
Meru,10212098,Rural,Male,45,"""Primary completed""",,,No,No,No,Yes,No,No,No,No,No,No,15000,A bank,,,,,,No,No,,No,Less than KSh 50,About 10 to 30 minutes,,,Less than KSh 50,About 10 to 30 minutes,Primary,No Female HH head,Primary,Currently have,Never had,Currently have,Currently have,KSh 7501-15000,Yes,Yes,"KSh 10,001-20,000",KSh 7501-15000,1
Kisii,10245090,Rural,Male,61,Completed technical training after secondary school,,Completed technical training after secondary school,No,Yes,No,No,No,No,No,No,No,No,2000,A Sacco,,,,,,,,,No,Between KSh 51- 100,About 1 to 3 hours,,,Less than KSh 50,Between 30 minutes to 1 hour,Tertiary,Tertiary,Tertiary,Currently have,Never had,Currently have,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Taita-Taveta,10106041,Rural,Male,16,"""Some secondary""",,Primary completed,No,No,No,No,No,No,No,No,No,Yes,800,A bank,,Yes,,,No,No,No,No,No,Less than KSh 50,Between 30 minutes to 1 hour,,,Less than KSh 50,Between 30 minutes to 1 hour,Secondary,Primary,Secondary,Never had,Never had,Never had,Never had,KSh 101 - 1500,No,No,"KSh 1 - 1,000",< KSh 3000,0
Nyamira,10246162,Urban,Male,53,"""Secondary completed """,,,Yes,Yes,No,No,Yes,No,Yes,No,No,No,"""Refused to Answer(DO NOT READ OUT)""",Mobile banking provider,,,,,,,No,,,Close enough to walk  No need to spend,Under 10 minutes,,,Close enough to walk to and fro -  No need to spend,Under 10 minutes,Secondary,No Female HH head,Secondary,Currently have,Never had,Currently have,Currently have,Refused to Answer,Yes,Yes,Refused to Answer,,1
Samburu,10225114,Rural,Male,30,"""None """,,"""None""",No,Yes,No,No,No,No,No,No,No,No,6000,"""None of these(DO NOT READ OUT)""",,,,,No,No,No,No,No,More than KSh 500,More than 3 hours,,,More than KSh 500,More than 3 hours,,,,Never had,Never had,Never had,Used to have,KSh 3001 - 7500,Yes,No,"KSh 5,001 - 10,000",KSh 3001 - 7500,0
Kwale,10102157,Urban,Female,36,"""Some primary """,,"""None""",No,No,No,No,No,No,No,No,No,Yes,3600,A bank,,,,,,No,No,,Yes,Close enough to walk  No need to spend,About 10 to 30 minutes,,,Less than KSh 50,Between 30 minutes to 1 hour,Primary,,Primary,Currently have,Never had,Never had,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 3,001 - 5,000",KSh 3001 - 7500,1
Baringo,10230182,Urban,Male,65,"""Secondary completed """,,No female household head/spouse,No,No,No,Yes,No,No,No,No,No,No,6000,Mobile money provider e.g Safaricom fuliza,,,,,,No,,,No,Close enough to walk  No need to spend,Between 30 minutes to 1 hour,,,Close enough to walk to and fro -  No need to spend,Between 30 minutes to 1 hour,Secondary,No Female HH head,Secondary,Never had,Never had,Never had,Currently have,KSh 3001 - 7500,Yes,No,"KSh 5,001 - 10,000",KSh 3001 - 7500,1
Kisii,10245038,Rural,Female,16,"""Primary completed""",,"""None""",No,No,No,Yes,No,No,No,No,No,No,1200,"""None of these(DO NOT READ OUT)""",,,,,No,No,No,No,No,Between KSh 101- 200,More than 3 hours,,,Less than KSh 50,About 10 to 30 minutes,Primary,,Primary,Never had,Never had,Never had,Never had,KSh 101 - 1500,No,No,"KSh 1,001 - 3,000",< KSh 3000,0
Isiolo,10111201,Urban,Male,22,"""Secondary completed """,,Completed technical training after secondary school,No,No,No,No,Yes,No,No,No,No,No,15000,"""Don't know(DO NOT READ OUT)""",,,,,No,No,No,,Yes,More than KSh 500,More than 3 hours,,,Less than KSh 50,About 10 to 30 minutes,Secondary,Tertiary,Secondary,Never had,Never had,Never had,Currently have,KSh 7501-15000,Yes,Yes,"KSh 10,001-20,000",KSh 7501-15000,1
Homabay,10243086,Rural,Female,70,"""None """,,,No,No,No,No,No,Yes,No,No,No,No,1000,Mobile money provider e.g Safaricom fuliza,,,,,,,No,,No,Between KSh 101- 200,About 1 to 3 hours,,,Between KSh 101 - 200,About 1 to 3 hours,,No Female HH head,,Currently have,Never had,Never had,Currently have,KSh 101 - 1500,Yes,Yes,"KSh 1 - 1,000",< KSh 3000,1
Tana River,10104085,Rural,Female,45,"""None """,,"""None""",No,No,No,No,No,No,Yes,No,No,No,20000,Mobile banking provider,,,,,No,No,No,,No,"""Don't know(DO NOT READ OUT)""","""Don't know(DO NOT READ OUT)""",,,"""Don't know(DO NOT READ OUT)""","""Don't know(DO NOT READ OUT)""",,,,Never had,Never had,Never had,Currently have,KSh 15001 - 30000,Yes,No,"KSh 10,001-20,000",KSh 15001 - 30000,1
Kitui,10215034,Rural,Female,81,"""None """,,,No,No,No,No,No,Yes,No,No,No,No,2000,A group / chama,,,,,,No,Yes,No,,More than KSh 500,More than 3 hours,,,More than KSh 500,More than 3 hours,,No Female HH head,,Never had,Never had,Never had,Never had,KSh 1501 - 3000,No,No,"KSh 1,001 - 3,000",< KSh 3000,0
Migori,10144197,Urban,Female,36,"""Secondary completed """,,Completed technical training after secondary school,No,No,Yes,No,No,No,No,No,No,No,15000,A bank,,,,,,,,,,Less than KSh 50,About 10 to 30 minutes,,,Less than KSh 50,About 10 to 30 minutes,Secondary,Tertiary,Secondary,Currently have,Currently have,Currently have,Currently have,KSh 7501-15000,Yes,Yes,"KSh 10,001-20,000",KSh 7501-15000,1
Samburu,10225110,Rural,Male,60,"""None """,,"""None""",No,Yes,No,Yes,No,No,No,No,No,No,3000,A bank,,,,,No,No,No,,No,More than KSh 500,More than 3 hours,,,More than KSh 500,More than 3 hours,,,,Used to have,Never had,Never had,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Kisii,10245106,Rural,Female,17,"""Some secondary""",,Some primary,No,No,No,No,No,No,No,No,No,Yes,3000,A bank,,,,,No,No,No,No,No,Less than KSh 50,About 1 to 3 hours,,,Less than KSh 50,About 10 to 30 minutes,Secondary,Primary,Secondary,Never had,Never had,Never had,Never had,KSh 1501 - 3000,No,No,"KSh 1,001 - 3,000",< KSh 3000,0
Migori,10244098,Rural,Male,17,"""Primary completed""",,Some primary,No,No,No,No,No,No,No,No,No,Yes,200,A bank,,,,,No,No,No,No,No,Between KSh 101- 200,More than 3 hours,,,Between KSh 101 - 200,More than 3 hours,Primary,Primary,Primary,Never had,Never had,Never had,Never had,KSh 101 - 1500,No,No,"KSh 1 - 1,000",< KSh 3000,0
Kajiado,10234194,Urban,Female,31,"""Primary completed""",,,No,No,No,Yes,No,No,No,No,No,No,15000,Mobile banking provider,,,,,,No,No,,Yes,Between KSh 201- 500,More than 3 hours,,,Less than KSh 50,About 10 to 30 minutes,Primary,No Female HH head,Primary,Used to have,Never had,Used to have,Currently have,KSh 7501-15000,Yes,Yes,"KSh 10,001-20,000",KSh 7501-15000,1
Nakuru,10232022,Rural,Female,24,"""Primary completed""",,"""None""",No,No,No,Yes,No,No,No,No,No,No,7000,A bank,,,,,,No,No,,No,Between KSh 201- 500,More than 3 hours,,,Between KSh 101 - 200,About 1 to 3 hours,Primary,,Primary,Never had,Never had,Never had,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 5,001 - 10,000",KSh 3001 - 7500,1
Nyandarua,10218018,Rural,Male,42,"""Some primary """,,,Refused to Answer,Yes,No,Yes,No,No,No,No,No,No,4500,A group / chama,,,,,,No,No,,,Close enough to walk  No need to spend,Between 30 minutes to 1 hour,,,Close enough to walk to and fro -  No need to spend,About 10 to 30 minutes,Primary,No Female HH head,Primary,Used to have,Never had,Never had,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 3,001 - 5,000",KSh 3001 - 7500,1
Kajiado,10234126,Urban,Female,22,"""Primary completed""",,,No,No,Yes,No,No,No,No,No,No,No,5000,Mobile banking provider,,,,,,No,No,,Yes,Close enough to walk  No need to spend,About 10 to 30 minutes,,,Close enough to walk to and fro -  No need to spend,Under 10 minutes,Primary,No Female HH head,Primary,Never had,Never had,Never had,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 3,001 - 5,000",KSh 3001 - 7500,1
Isiolo,10211054,Rural,Female,32,"""None """,,,No,No,No,No,Yes,Yes,No,No,No,Yes,15000,A group / chama,,,,,,No,No,,,Between KSh 201- 500,Between 30 minutes to 1 hour,,,Between KSh 201 - 500,Between 30 minutes to 1 hour,,No Female HH head,,Used to have,Never had,Used to have,Currently have,KSh 7501-15000,Yes,Yes,"KSh 10,001-20,000",KSh 7501-15000,1
Elgeyo-Marakwet,10228082,Rural,Male,45,"""Primary completed""",,"""Some secondary""",No,Yes,No,No,No,No,No,No,No,No,2000,A bank,,,,,,No,No,No,,More than KSh 500,More than 3 hours,,,More than KSh 500,More than 3 hours,Primary,Secondary,Primary,Never had,Never had,Never had,Never had,KSh 1501 - 3000,Yes,No,"KSh 1,001 - 3,000",< KSh 3000,0
Nairobi City,10147001,Urban,Female,27,Completed technical training after secondary school,,Completed technical training after secondary school,No,No,No,No,No,No,No,No,No,Yes,2000,A bank,,,,,,,No,,No,Between KSh 51- 100,Between 30 minutes to 1 hour,,,Between KSh 51 - 100,About 10 to 30 minutes,Tertiary,Tertiary,Tertiary,Currently have,Never had,Currently have,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Homabay,10143177,Urban,Female,24,Some university,,Secondary completed,No,No,No,No,No,No,No,No,No,Yes,2500,A bank,,,,,,,No,,No,Close enough to walk  No need to spend,About 10 to 30 minutes,,,Less than KSh 50,Between 30 minutes to 1 hour,Tertiary,Secondary,Tertiary,Currently have,Never had,Used to have,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
