County,cluster_number,cluster_type,respondent_sex,respondent_age,education_completed_raw,education_completed_other,female_hh_highest_education,emergency_access_area_type,income_source_farming,income_source_employment,income_source_casual_work,income_source_self_employment,income_source_social_transfer,income_source_rental_income,income_source_investments,income_source_pension_annuity,income_source_family_support,monthly_income_ksh,trusted_financial_provider,insurance_doc_barrier_no_insurance,insurance_doc_barrier_not_in_own_name,loan_barrier_low_income_to_repay,loan_barrier_inadequate_documentation,savings_barrier_distrust_institutions,bank_barrier_distrust_banks,sacco_barrier_lack_of_trust,mobile_money_barrier_untrustworthy_agents,formal_account_barrier_distrust,cost_to_nearest_bank,walk_time_to_nearest_bank,cost_to_nearest_mobile_money_agent,walk_time_to_nearest_mobile_money_agent,cost_to_nearest_bank_agent,walk_time_to_nearest_bank_agent,education,education_femHH,education_anyHH,bank_usage,insurance_usage,mobile_bank_usage,mobile_money_usage,incomegp,mobile_money_access,mobile_money_active,incomegpnew,incomegp_new,financially_included
Trans Nzoia,10226038,Rural,Female,59,Completed technical training after secondary school,,,No,Yes,Yes,No,No,No,No,Yes,No,No,13000,Mobile money provider e.g Safaricom fuliza,,,,,,,,,,Between KSh 101- 200,More than 3 hours,,,Close enough to walk to and fro -  No need to spend,About 10 to 30 minutes,Tertiary,No Female HH head,Tertiary,Currently have,Currently have,Never had,Currently have,KSh 7501-15000,Yes,Yes,"KSh 10,001-20,000",KSh 7501-15000,1
Busia,10240034,Rural,Female,43,Completed technical training after secondary school,,,Yes,No,Yes,No,No,No,No,No,No,No,6000,Mobile money provider e.g Safaricom fuliza,,,,,,No,Yes,,,Between KSh 51- 100,About 1 to 3 hours,,,Less than KSh 50,Between 30 minutes to 1 hour,Tertiary,No Female HH head,Tertiary,Used to have,Never had,Never had,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 5,001 - 10,000",KSh 3001 - 7500,1
Machakos,10216062,Rural,Male,72,"""Some primary """,,No female household head/spouse,No,Yes,No,No,No,No,No,No,No,No,1000,Mobile money provider e.g Safaricom fuliza,,,,,,No,No,No,,Between KSh 101- 200,About 1 to 3 hours,,,Close enough to walk to and fro -  No need to spend,About 10 to 30 minutes,Primary,No Female HH head,Primary,Never had,Never had,Never had,Never had,KSh 101 - 1500,No,No,"KSh 1 - 1,000",< KSh 3000,0
Kisumu,10242078,Rural,Male,22,"""Primary completed""",,Some primary,No,No,No,Yes,No,No,No,No,No,No,2500,Mobile money provider e.g Safaricom fuliza,,,,,,No,No,,Yes,Less than KSh 50,About 1 to 3 hours,,,Less than KSh 50,About 10 to 30 minutes,Primary,Primary,Primary,Never had,Never had,Never had,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Nyeri,10219138,Urban,Male,36,"""Primary completed""",,,No,No,No,No,Yes,No,No,No,No,No,"""Don't know(DO NOT READ OUT)""",A Sacco,,,,,,No,No,,,Between KSh 101- 200,Between 30 minutes to 1 hour,,,Less than KSh 50,About 10 to 30 minutes,Primary,No Female HH head,Primary,Never had,Never had,Never had,Currently have,Don't Know,Yes,Yes,Don't Know,Others,1
Murang'a,10221166,Urban,Male,24,"""Secondary completed """,,Secondary completed,Yes,No,Yes,No,No,No,No,No,No,No,6000,A bank,,,No,,,,Yes,,,Close enough to walk  No need to spend,Under 10 minutes,,,Close enough to walk to and fro -  No need to spend,Under 10 minutes,Secondary,Secondary,Secondary,Currently have,Never had,Currently have,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 5,001 - 10,000",KSh 3001 - 7500,1
Nyeri,10219014,Rural,Male,50,"""Some primary """,,Primary completed,No,No,No,Yes,No,No,No,No,No,No,4000,A bank,,,,,No,No,No,,No,Between KSh 51- 100,About 1 to 3 hours,,,Between KSh 51 - 100,About 1 to 3 hours,Primary,Primary,Primary,Never had,Never had,Never had,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 3,001 - 5,000",KSh 3001 - 7500,1
Baringo,10230034,Rural,Male,31,"""Primary completed""",,Secondary completed,No,No,No,Yes,No,No,No,No,No,No,7000,Mobile money provider e.g Safaricom fuliza,,,,,,No,No,,No,Between KSh 101- 200,Between 30 minutes to 1 hour,,,Between KSh 101 - 200,More than 3 hours,Primary,Secondary,Primary,Currently have,Currently have,Never had,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 5,001 - 10,000",KSh 3001 - 7500,1
Migori,10244014,Rural,Male,38,"""Some primary """,,Secondary completed,No,Yes,No,No,No,No,No,No,No,No,3000,Mobile money provider e.g Safaricom fuliza,,,,,,,No,,No,Between KSh 51- 100,Between 30 minutes to 1 hour,,,Between KSh 51 - 100,Between 30 minutes to 1 hour,Primary,Secondary,Primary,Currently have,Never had,Currently have,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Nyeri,10119053,Rural,Male,31,"""Primary completed""",,,No,No,No,No,No,No,No,No,No,Yes,3000,Mobile money provider e.g Safaricom fuliza,,,,,,No,No,,No,Less than KSh 50,Between 30 minutes to 1 hour,,,Less than KSh 50,Between 30 minutes to 1 hour,Primary,No Female HH head,Primary,Never had,Never had,Never had,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Kakamega,10137125,Rural,Female,62,"""None """,,,No,No,No,No,No,No,No,No,No,Yes,"""Don't know(DO NOT READ OUT)""","""Don't know(DO NOT READ OUT)""",,,,,,No,,No,,Between KSh 101- 200,"""Don't know(DO NOT READ OUT)""",,,Between KSh 101 - 200,"""Don't know(DO NOT READ OUT)""",,No Female HH head,,Never had,Never had,Never had,Never had,Don't Know,No,No,Don't Know,Others,0
Kitui,10215046,Rural,Female,35,"""Some primary """,,Some primary,No,No,Yes,No,No,No,No,No,No,No,400,Mobile money provider e.g Safaricom fuliza,,,,,,No,No,,No,Between KSh 201- 500,About 1 to 3 hours,,,Between KSh 201 - 500,About 1 to 3 hours,Primary,Primary,Primary,Never had,Never had,Never had,Currently have,KSh 101 - 1500,Yes,Yes,"KSh 1 - 1,000",< KSh 3000,1
Bomet,10236042,Rural,Male,47,"""Secondary completed """,,,No,No,No,No,Yes,No,No,No,No,No,5000,Mobile money provider e.g Safaricom fuliza,,,,,,No,No,No,,Between KSh 201- 500,More than 3 hours,,,Between KSh 201 - 500,More than 3 hours,Secondary,No Female HH head,Secondary,Never had,Never had,Never had,Never had,KSh 3001 - 7500,Yes,No,"KSh 3,001 - 5,000",KSh 3001 - 7500,0
Garissa,10207098,Rural,Male,35,"""None """,,,No,Yes,No,No,No,No,No,No,No,No,20000,A bank,,,,,No,No,Yes,No,Yes,More than KSh 500,More than 3 hours,,,More than KSh 500,More than 3 hours,,No Female HH head,,Never had,Never had,Never had,Never had,KSh 15001 - 30000,No,No,"KSh 10,001-20,000",KSh 15001 - 30000,0
Kiambu,10222178,Urban,Male,39,"""Primary completed""",,No female household head/spouse,No,No,No,Yes,No,No,No,No,No,No,15000,Mobile money provider e.g Safaricom fuliza,,,,,,,No,,No,Between KSh 51- 100,Between 30 minutes to 1 hour,,,Close enough to walk to and fro -  No need to spend,Under 10 minutes,Primary,No Female HH head,Primary,Currently have,Never had,Never had,Currently have,KSh 7501-15000,Yes,Yes,"KSh 10,001-20,000",KSh 7501-15000,1
Nyamira,10246006,Rural,Male,53,"""Secondary completed """,,,No,Yes,No,No,No,No,No,No,No,No,4000,A group / chama,,,,,,,No,,,Between KSh 201- 500,More than 3 hours,,,Between KSh 51 - 100,Between 30 minutes to 1 hour,Secondary,No Female HH head,Secondary,Currently have,Never had,Never had,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 3,001 - 5,000",KSh 3001 - 7500,1
Taita-Taveta,10206110,Rural,Male,26,"""Primary completed""",,"""None""",No,No,No,No,Yes,No,No,No,No,No,3000,A bank,,,,,,No,No,,No,Between KSh 101- 200,More than 3 hours,,,Between KSh 101 - 200,More than 3 hours,Primary,,Primary,Currently have,Never had,Never had,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Kericho,10235122,Rural,Female,17,"""Secondary completed """,,Primary completed,No,No,No,Yes,No,No,No,No,No,No,1000,"""Don't know(DO NOT READ OUT)""",,,,,,No,No,No,No,Between KSh 101- 200,More than 3 hours,,,Less than KSh 50,Between 30 minutes to 1 hour,Secondary,Primary,Secondary,Never had,Never had,Never had,Never had,KSh 101 - 1500,No,No,"KSh 1 - 1,000",< KSh 3000,0
Kisii,10245130,Rural,Male,40,"""Secondary completed """,,,No,Yes,No,No,No,No,No,No,No,No,500,Mobile money provider e.g Safaricom fuliza,,,,,,No,No,,Yes,Between KSh 101- 200,More than 3 hours,,,Between KSh 51 - 100,About 1 to 3 hours,Secondary,No Female HH head,Secondary,Never had,Never had,Never had,Currently have,KSh 101 - 1500,Yes,Yes,"KSh 1 - 1,000",< KSh 3000,1
Baringo,10130005,Rural,Male,22,Some technical training after secondary school,,Some technical training after secondary school,No,No,No,No,No,No,No,No,No,Yes,1000,A bank,,,,,,,No,,No,Between KSh 101- 200,About 1 to 3 hours,,,Between KSh 101 - 200,Between 30 minutes to 1 hour,Tertiary,Tertiary,Tertiary,Currently have,Never had,Currently have,Currently have,KSh 101 - 1500,Yes,Yes,"KSh 1 - 1,000",< KSh 3000,1
Taita-Taveta,10206014,Rural,Female,75,"""None """,,"""None""",No,No,No,No,No,No,No,No,No,Yes,"""Don't know(DO NOT READ OUT)""","""Don't know(DO NOT READ OUT)""",,,,,No,No,No,No,No,Between KSh 51- 100,About 1 to 3 hours,,,Between KSh 51 - 100,About 1 to 3 hours,,,,Never had,Never had,Never had,Never had,Don't Know,No,No,Don't Know,Others,0
Kirinyaga,10120033,Rural,Male,38,"""Primary completed""",,Primary completed,No,No,No,Yes,No,No,No,No,No,No,10000,Mobile money provider e.g Safaricom fuliza,,,,,,No,,,No,Between KSh 51- 100,Between 30 minutes to 1 hour,,,Between KSh 51 - 100,Between 30 minutes to 1 hour,Primary,Primary,Primary,Used to have,Never had,Used to have,Currently have,KSh 7501-15000,Yes,Yes,"KSh 5,001 - 10,000",KSh 7501-15000,1
Homabay,10143049,Rural,Male,35,"""Primary completed""",,,No,No,No,Yes,No,No,No,No,No,No,2000,Mobile money provider e.g Safaricom fuliza,,,,,,No,No,,,Between KSh 101- 200,About 1 to 3 hours,,,Between KSh 101 - 200,About 1 to 3 hours,Primary,No Female HH head,Primary,Currently have,Never had,Never had,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Tana River,10104121,Rural,Male,23,"""Some primary """,,"""None""",No,No,No,No,No,No,No,No,No,Yes,"""Don't know(DO NOT READ OUT)""","""Don't know(DO NOT READ OUT)""",,,,,No,No,No,No,No,Between KSh 201- 500,More than 3 hours,,,Between KSh 201 - 500,More than 3 hours,Primary,,Primary,Never had,Never had,Never had,Never had,Don't Know,No,No,Don't Know,Others,0
Kakamega,10237198,Urban,Male,25,"""Some primary """,,No female household head/spouse,No,No,Yes,No,No,No,No,No,No,No,5000,Mobile money provider e.g Safaricom fuliza,,,Yes,,,,No,,,"""Don't know(DO NOT READ OUT)""","""Don't know(DO NOT READ OUT)""",,,"""Don't know(DO NOT READ OUT)""","""Don't know(DO NOT READ OUT)""",Primary,No Female HH head,Primary,Currently have,Never had,Currently have,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 3,001 - 5,000",KSh 3001 - 7500,1
Busia,10240086,Rural,Female,38,"""Secondary completed """,,,No,No,No,No,Yes,No,No,No,No,No,7500,Mobile money provider e.g Safaricom fuliza,,,No,,,No,Yes,,,Between KSh 101- 200,More than 3 hours,,,Close enough to walk to and fro -  No need to spend,Under 10 minutes,Secondary,No Female HH head,Secondary,Used to have,Never had,Never had,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 5,001 - 10,000",KSh 3001 - 7500,1
Baringo,10230106,Rural,Male,29,"""Secondary completed """,,Completed technical training after secondary school,No,Yes,No,Yes,No,No,No,No,No,No,1500,A bank,,,,,,No,No,,No,Between KSh 201- 500,More than 3 hours,,,Between KSh 201 - 500,More than 3 hours,Secondary,Tertiary,Secondary,Currently have,Never had,Never had,Currently have,KSh 101 - 1500,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Wajir,10108177,Urban,Female,30,"""None """,,"""None""",Yes,No,No,Yes,No,No,No,No,No,No,25000,A bank,,,,,,No,No,,No,,,Close enough to walk  No need to spend,Under 10 minutes,Less than KSh 50,Between 30 minutes to 1 hour,,,,Never had,Used to have,Never had,Currently have,KSh 15001 - 30000,Yes,Yes,"KSh 20,001 - 50,000",KSh 15001 - 30000,1
Homabay,10143177,Urban,Female,40,"""Some secondary""",,,No,No,No,No,Yes,No,No,No,No,No,3500,A bank,,,,,,,No,,No,Close enough to walk  No need to spend,About 10 to 30 minutes,,,Close enough to walk to and fro -  No need to spend,About 10 to 30 minutes,Secondary,No Female HH head,Secondary,Currently have,Never had,Never had,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 3,001 - 5,000",KSh 3001 - 7500,1
Nyeri,10219038,Rural,Female,31,"""Secondary completed """,,No female household head/spouse,No,Yes,No,Yes,No,No,No,No,No,No,5000,A bank,,,No,,,No,No,,Yes,Between KSh 51- 100,Between 30 minutes to 1 hour,,,Between KSh 51 - 100,Between 30 minutes to 1 hour,Secondary,No Female HH head,Secondary,Used to have,Never had,Used to have,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 3,001 - 5,000",KSh 3001 - 7500,1
Tana River,10204018,Rural,Female,20,"""None """,,Some primary,No,Yes,No,No,No,No,No,No,No,No,4000,Mobile money provider e.g Safaricom fuliza,,,,,No,No,No,No,No,Between KSh 201- 500,More than 3 hours,,,Between KSh 201 - 500,More than 3 hours,,Primary,,Never had,Never had,Never had,Never had,KSh 3001 - 7500,No,No,"KSh 3,001 - 5,000",KSh 3001 - 7500,0
Narok,10133173,Urban,Female,38,"""Some primary """,,,No,No,No,Yes,No,No,No,No,No,No,5000,Mobile money provider e.g Safaricom fuliza,,,,,,No,No,,No,Between KSh 51- 100,Between 30 minutes to 1 hour,,,Close enough to walk to and fro -  No need to spend,Under 10 minutes,Primary,No Female HH head,Primary,Currently have,Never had,Currently have,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 3,001 - 5,000",KSh 3001 - 7500,1
Laikipia,10231182,Urban,Male,33,Completed technical training after secondary school,,No female household head/spouse,Yes,No,Yes,No,No,No,No,No,No,No,13000,A bank,,,No,,,,Yes,,No,Less than KSh 50,Between 30 minutes to 1 hour,,,Close enough to walk to and fro -  No need to spend,Under 10 minutes,Tertiary,No Female HH head,Tertiary,Currently have,Never had,Currently have,Currently have,KSh 7501-15000,Yes,Yes,"KSh 10,001-20,000",KSh 7501-15000,1
Nyeri,10219178,Urban,Female,58,"""Some secondary""",,,No,No,No,Yes,No,No,No,No,No,Yes,1500,A bank,,,No,,,No,No,,,Less than KSh 50,Between 30 minutes to 1 hour,,,Less than KSh 50,Between 30 minutes to 1 hour,Secondary,No Female HH head,Secondary,Currently have,Never had,Currently have,Currently have,KSh 101 - 1500,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Laikipia,10231046,Rural,Female,45,"""None """,,,No,Yes,No,No,Yes,No,No,No,No,No,5000,Mobile money provider e.g Safaricom fuliza,,,,,,No,No,,No,More than KSh 500,More than 3 hours,,,More than KSh 500,More than 3 hours,,No Female HH head,,Used to have,Never had,Used to have,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 3,001 - 5,000",KSh 3001 - 7500,1
West Pokot,10124173,Urban,Male,31,"""Secondary completed """,,,No,Yes,No,No,Yes,No,No,No,No,No,9000,A bank,,,,,,,No,,No,Close enough to walk  No need to spend,About 10 to 30 minutes,,,Less than KSh 50,About 10 to 30 minutes,Secondary,No Female HH head,Secondary,Currently have,Currently have,Currently have,Currently have,KSh 7501-15000,Yes,Yes,"KSh 5,001 - 10,000",KSh 7501-15000,1
Homabay,10243010,Rural,Male,31,"""Primary completed""",,Some primary,No,Yes,No,No,No,No,No,No,No,No,4000,A bank,,,,,,No,No,,,Between KSh 101- 200,More than 3 hours,,,Between KSh 51 - 100,About 1 to 3 hours,Primary,Primary,Primary,Used to have,Never had,Used to have,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 3,001 - 5,000",KSh 3001 - 7500,1
Busia,10140165,Urban,Male,34,"""Some primary """,,,No,Yes,No,No,No,No,No,No,No,No,3000,A bank,,,,,,No,No,,No,Between KSh 51- 100,About 1 to 3 hours,,,Between KSh 51 - 100,About 1 to 3 hours,Primary,No Female HH head,Primary,Never had,Never had,Never had,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Bungoma,10239130,Rural,Male,64,"""Some secondary""",,,No,No,No,No,No,No,No,No,No,Yes,"""Don't know(DO NOT READ OUT)""",Mobile money provider e.g Safaricom fuliza,,,,,,No,No,,,Between KSh 101- 200,More than 3 hours,,,Between KSh 101 - 200,More than 3 hours,Secondary,No Female HH head,Secondary,Never had,Never had,Never had,Currently have,Don't Know,Yes,Yes,Don't Know,Others,1
Bomet,10236114,Rural,Male,52,"""Some primary """,,,No,Yes,No,No,No,No,No,No,No,No,3000,A Sacco,,,,,,No,,,Yes,Between KSh 51- 100,Between 30 minutes to 1 hour,,,Close enough to walk to and fro -  No need to spend,About 10 to 30 minutes,Primary,No Female HH head,Primary,Never had,Never had,Never had,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Migori,10244002,Rural,Female,69,"""Some primary """,,Primary completed,No,Yes,No,No,No,No,No,No,No,No,2000,A bank,,,,,,No,Yes,,,Between KSh 51- 100,About 1 to 3 hours,,,Between KSh 51 - 100,About 1 to 3 hours,Primary,Primary,Primary,Currently have,Never had,Never had,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Garissa,10207074,Rural,Male,48,"""None """,,"""None""",No,Yes,No,No,No,No,No,No,No,No,2000,A bank,,,,,,No,No,,No,More than KSh 500,More than 3 hours,,,More than KSh 500,More than 3 hours,,,,Never had,Never had,Never had,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Makueni,10217054,Rural,Female,36,"""Some primary """,,"""None""",No,No,No,Yes,No,No,No,No,No,No,3000,"""None of these(DO NOT READ OUT)""",,,No,,No,No,No,,No,Between KSh 101- 200,More than 3 hours,,,Between KSh 51 - 100,About 1 to 3 hours,Primary,,Primary,Currently have,Never had,Never had,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Migori,10244066,Rural,Male,63,"""Some secondary""",,"""Don't know (DO NOT READ OUT)""",Yes,No,No,Yes,No,No,No,No,No,Yes,15000,Mobile money provider e.g Safaricom fuliza,,,,,,No,No,,No,Less than KSh 50,About 10 to 30 minutes,,,Less than KSh 50,About 10 to 30 minutes,Secondary,No Female HH head,Secondary,Never had,Never had,Never had,Currently have,KSh 7501-15000,Yes,Yes,"KSh 10,001-20,000",KSh 7501-15000,1
Nyandarua,10218062,Rural,Male,58,"""Primary completed""",,,No,Yes,No,No,No,No,No,No,No,No,2500,Mobile money provider e.g Safaricom fuliza,,,No,,No,,No,,Yes,Between KSh 101- 200,More than 3 hours,,,Close enough to walk to and fro -  No need to spend,About 10 to 30 minutes,Primary,No Female HH head,Primary,Currently have,Never had,Currently have,Currently have,KSh 1501 - 3000,Yes,No,"KSh 1,001 - 3,000",< KSh 3000,1
Baringo,10230198,Urban,Male,36,"""Secondary completed """,,Secondary completed,No,No,No,Yes,No,No,No,No,No,No,2000,A bank,,,,,,No,No,,Yes,Close enough to walk  No need to spend,Between 30 minutes to 1 hour,,,Close enough to walk to and fro -  No need to spend,Between 30 minutes to 1 hour,Secondary,Secondary,Secondary,Currently have,Never had,Currently have,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Kiambu,10222198,Urban,Female,32,"""Secondary completed """,,,No,No,No,No,No,No,No,No,No,Yes,5000,A bank,,,,,,No,No,,No,Less than KSh 50,About 10 to 30 minutes,,,Less than KSh 50,About 10 to 30 minutes,Secondary,No Female HH head,Secondary,Never had,Never had,Never had,Currently have,KSh 3001 - 7500,Yes,No,"KSh 3,001 - 5,000",KSh 3001 - 7500,1
Bungoma,10239058,Rural,Male,46,"""Some primary """,,No female household head/spouse,No,No,No,Yes,No,No,No,No,No,No,"""Don't know(DO NOT READ OUT)""","""None of these(DO NOT READ OUT)""",,,,,No,No,No,No,No,Between KSh 101- 200,About 1 to 3 hours,,,Between KSh 101 - 200,About 1 to 3 hours,Primary,No Female HH head,Primary,Never had,Never had,Never had,Never had,Don't Know,No,No,Don't Know,Others,0
Nakuru,10232202,Urban,Female,16,"""Some secondary""",,Secondary completed,No,No,No,No,No,No,No,No,No,Yes,8000,"""None of these(DO NOT READ OUT)""",,,,,No,No,No,No,No,Less than KSh 50,Between 30 minutes to 1 hour,,,Close enough to walk to and fro -  No need to spend,Under 10 minutes,Secondary,Secondary,Secondary,Never had,Never had,Never had,Never had,KSh 7501-15000,No,No,"KSh 5,001 - 10,000",KSh 7501-15000,0
Marsabit,10210126,Urban,Female,45,"""Secondary completed """,,"""None""",Yes,No,Yes,No,No,No,No,No,No,No,40000,A bank,,,,,,,No,,No,Close enough to walk  No need to spend,About 10 to 30 minutes,,,Close enough to walk to and fro -  No need to spend,About 10 to 30 minutes,Secondary,,Secondary,Currently have,Currently have,Currently have,Currently have,KSh 30001 - 70000,Yes,Yes,"KSh 20,001 - 50,000",KSh 30001 - 70000,1
Mandera,10209134,Urban,Male,17,"""Some secondary""",,,No,No,No,No,No,No,No,No,No,Yes,7000,A bank,,,,,,No,No,,No,More than KSh 500,More than 3 hours,,,Close enough to walk to and fro -  No need to spend,Under 10 minutes,Secondary,No Female HH head,Secondary,Never had,Never had,Never had,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 5,001 - 10,000",KSh 3001 - 7500,1
Nandi,10229130,Rural,Male,67,"""Some primary """,,,No,No,No,No,No,No,No,No,No,Yes,2000,Mobile money provider e.g Safaricom fuliza,,,,,No,No,No,,No,Between KSh 101- 200,More than 3 hours,,,Between KSh 101 - 200,More than 3 hours,Primary,No Female HH head,Primary,Never had,Never had,Never had,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Mandera,10209034,Rural,Female,30,"""None """,,,No,Yes,No,No,No,No,No,No,No,No,3000,A bank,,,,,,No,No,,Yes,More than KSh 500,More than 3 hours,,,Between KSh 201 - 500,About 1 to 3 hours,,No Female HH head,,Never had,Never had,Never had,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Turkana,10223118,Rural,Female,40,"""None """,,,No,No,No,No,Yes,No,No,No,No,No,2000,"""Don't know(DO NOT READ OUT)""",,,,,,No,No,No,No,More than KSh 500,More than 3 hours,,,"""Don't know(DO NOT READ OUT)""","""Don't know(DO NOT READ OUT)""",,No Female HH head,,Never had,Never had,Never had,Never had,KSh 1501 - 3000,No,No,"KSh 1,001 - 3,000",< KSh 3000,0
Mandera,10209194,Urban,Female,25,"""None """,,"""None""",No,Yes,No,No,No,No,No,No,No,No,8000,A bank,,,,,No,No,No,,No,Between KSh 51- 100,Between 30 minutes to 1 hour,,,Between KSh 51 - 100,About 10 to 30 minutes,,,,Never had,Never had,Never had,Currently have,KSh 7501-15000,Yes,Yes,"KSh 5,001 - 10,000",KSh 7501-15000,1
Wajir,10208190,Urban,Male,42,"""None """,,"""None""",Yes,No,No,No,Yes,No,No,No,No,No,20000,A bank,,,,,,,Yes,,No,Close enough to walk  No need to spend,About 10 to 30 minutes,,,Between KSh 51 - 100,About 10 to 30 minutes,,,,Currently have,Never had,Never had,Currently have,KSh 15001 - 30000,Yes,Yes,"KSh 10,001-20,000",KSh 15001 - 30000,1
Migori,10144089,Rural,Male,35,"""Some primary """,,,No,Yes,No,No,No,No,No,No,No,No,4000,A group / chama,,,,,,Yes,No,,,Less than KSh 50,Between 30 minutes to 1 hour,,,Less than KSh 50,Between 30 minutes to 1 hour,Primary,No Female HH head,Primary,Currently have,Never had,Never had,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 3,001 - 5,000",KSh 3001 - 7500,1
Trans Nzoia,10226110,Rural,Female,21,"""Secondary completed """,,"""Don't know (DO NOT READ OUT)""",No,No,Yes,No,No,No,No,No,No,No,8000,Mobile banking provider,,,No,,,,Yes,,No,Less than KSh 50,Between 30 minutes to 1 hour,,,Close enough to walk to and fro -  No need to spend,About 10 to 30 minutes,Secondary,No Female HH head,Secondary,Currently have,Never had,Currently have,Currently have,KSh 7501-15000,Yes,Yes,"KSh 5,001 - 10,000",KSh 7501-15000,1
Meru,10212090,Rural,Male,41,"""Some primary """,,Some primary,No,Yes,No,No,No,No,No,No,No,No,10000,A Sacco,,,,,,No,No,,No,Between KSh 51- 100,Between 30 minutes to 1 hour,,,Between KSh 51 - 100,Between 30 minutes to 1 hour,Primary,Primary,Primary,Never had,Never had,Never had,Currently have,KSh 7501-15000,Yes,Yes,"KSh 5,001 - 10,000",KSh 7501-15000,1
Embu,10214114,Rural,Female,33,"""Secondary completed """,,,No,No,No,Yes,Yes,No,No,No,No,No,3000,A group / chama,,,,,,No,No,,,Between KSh 201- 500,More than 3 hours,,,Between KSh 51 - 100,About 1 to 3 hours,Secondary,No Female HH head,Secondary,Never had,Never had,Never had,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Taita-Taveta,10106041,Rural,Male,39,"""Primary completed""",,No female household head/spouse,Yes,No,Yes,No,No,No,No,No,No,No,30000,A bank,,,,,,,Yes,,Yes,Between KSh 51- 100,Between 30 minutes to 1 hour,,,Between KSh 51 - 100,Between 30 minutes to 1 hour,Primary,No Female HH head,Primary,Currently have,Never had,Currently have,Currently have,KSh 15001 - 30000,Yes,Yes,"KSh 20,001 - 50,000",KSh 15001 - 30000,1
Kilifi,10103169,Urban,Female,31,Some university,,Some university,Yes,No,No,No,Yes,No,No,No,No,No,50000,A bank,,,,,,,,,,Between KSh 51- 100,Between 30 minutes to 1 hour,,,Between KSh 51 - 100,Between 30 minutes to 1 hour,Tertiary,Tertiary,Tertiary,Currently have,Currently have,Currently have,Currently have,KSh 30001 - 70000,Yes,Yes,"KSh 20,001 - 50,000",KSh 30001 - 70000,1
Busia,10140113,Rural,Male,67,"""Some primary """,,,No,Yes,No,No,No,Yes,No,No,No,No,2000,A bank,,,Yes,,,,No,,,Between KSh 51- 100,About 1 to 3 hours,,,Between KSh 51 - 100,Between 30 minutes to 1 hour,Primary,No Female HH head,Primary,Currently have,Never had,Currently have,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Machakos,10216054,Rural,Female,17,"""Primary completed""",,"""Some secondary""",No,No,No,No,No,No,No,No,No,Yes,100,A bank,,,,,No,No,No,No,No,Between KSh 101- 200,About 10 to 30 minutes,,,Close enough to walk to and fro -  No need to spend,About 10 to 30 minutes,Primary,Secondary,Primary,Never had,Never had,Never had,Never had,KSh 0 - 100,No,No,"KSh 1 - 1,000",< KSh 3000,0
